c,p
18.096000,14.736520
18.767400,14.336980
18.122200,13.753540
27.453600,24.160480
17.359000,14.514240
89.256700,82.737020
47.607400,35.634080
72.968200,49.128540
75.662900,65.654440
217.553600,182.021980
200.471133,162.369460
209.075200,169.019980
197.555067,164.972200
158.598000,137.051220
203.822400,167.976900
197.806100,165.157020
201.474650,136.964440
177.439700,144.338500
176.072950,147.297640
167.856100,135.089940
182.982320,149.686960
244.791280,214.530440
184.033880,143.349340
180.707120,141.073180
169.688560,146.622720
